research_field,response
"Pre-Elementary, Early Childhood,","[
{
""topic_words"": [""play"", ""learning"", ""development"", ""curriculum"", ""exploration""],
""topic_label"": ""Play-Based Learning Theory""
},
{
""topic_words"": [""social"", ""emotional"", ""regulation"", ""competence"", ""peer""],
""topic_label"": ""Socio-Emotional Development""
},
{
""topic_words"": [""language"", ""literacy"", ""phonological"", ""vocabulary"", ""communication""],
""topic_label"": ""Early Language Acquisition""
},
{
""topic_words"": [""assessment"", ""observation"", ""screening"", ""readiness"", ""standardized""],
""topic_label"": ""Early Childhood Assessment""
},
{
""topic_words"": [""parent"", ""engagement"", ""family"", ""involvement"", ""partnership""],
""topic_label"": ""Parent and Family Engagement""
},
{
""topic_words"": [""cognition"", ""executive"", ""function"", ""memory"", ""attention""],
""topic_label"": ""Cognitive Development in Toddlers""
},
{
""topic_words"": [""teacher"", ""quality"", ""training"", ""professional"", ""interactions""],
""topic_label"": ""Early Educator Quality""
}
]"
Astrodynamics,"[
{
""topic_words"": [""trajectory"", ""optimization"", ""transfer"", ""low-energy"", ""interplanetary""],
""topic_label"": ""Space Trajectory Optimization""
},
{
""topic_words"": [""orbit"", ""determination"", ""attitude"", ""navigation"", ""tracking""],
""topic_label"": ""Orbit and Attitude Determination""
},
{
""topic_words"": [""orbital"", ""mechanics"", ""keplerian"", ""dynamics"", ""perturbations""],
""topic_label"": ""Orbital Mechanics and Dynamics""
},
{
""topic_words"": [""debris"", ""collision"", ""catalog"", ""removal"", ""mitigation""],
""topic_label"": ""Space Debris Management""
},
{
""topic_words"": [""three-body"", ""cr3bp"", ""libration"", ""manifolds"", ""halo""],
""topic_label"": ""Restricted Three-Body Problem""
},
{
""topic_words"": [""rendezvous"", ""phasing"", ""relative"", ""formation"", ""proximity""],
""topic_label"": ""Orbital Rendezvous and Control""
},
{
""topic_words"": [""gravity"", ""assist"", ""h-transfer"", ""propulsion"", ""maneuver""],
""topic_label"": ""Impulsive Orbital Maneuvers""
}
]"
"Navigation, Guidance, Control and Dynamics","[
{
""topic_words"": [""kalman"", ""filter"", ""estimation"", ""sensor"", ""fusion""],
""topic_label"": ""State Estimation and Filtering""
},
{
""topic_words"": [""inertial"", ""measurement"", ""unit"", ""gyroscope"", ""accelerometer""],
""topic_label"": ""Inertial Navigation Systems""
},
{
""topic_words"": [""trajectory"", ""planning"", ""path"", ""optimization"", ""obstacle""],
""topic_label"": ""Autonomous Trajectory Planning""
},
{
""topic_words"": [""pid"", ""controller"", ""feedback"", ""stability"", ""tuning""],
""topic_label"": ""Feedback Control Systems""
},
{
""topic_words"": [""kinematics"", ""dynamics"", ""motion"", ""six-degree-of-freedom"", ""modeling""],
""topic_label"": ""6-DOF Motion Modeling""
},
{
""topic_words"": [""missile"", ""interception"", ""pursuit"", ""line-of-sight"", ""algorithms""],
""topic_label"": ""Missile Guidance Techniques""
},
{
""topic_words"": [""robotics"", ""manipulator"", ""mobile"", ""localization"", ""mapping""],
""topic_label"": ""Robotics Navigation and Control""
}
]"
Propulsion and Power,"[
{
""topic_words"": [""gas"", ""turbine"", ""combustion"", ""aeroengine"", ""performance""],
""topic_label"": ""Gas Turbine Performance & Combustion""
},
{
""topic_words"": [""rocket"", ""engine"", ""propellant"", ""thrust"", ""liquid""],
""topic_label"": ""Liquid Rocket Propulsion Systems""
},
{
""topic_words"": [""electric"", ""aircraft"", ""hybrid"", ""power"", ""system""],
""topic_label"": ""Electric Aircraft Power Systems""
},
{
""topic_words"": [""hypersonic"", ""ramjet"", ""scramjet"", ""airbreathing"", ""flow""],
""topic_label"": ""Hypersonic Air-Breathing Propulsion""
},
{
""topic_words"": [""heat"", ""transfer"", ""cooling"", ""thermal"", ""convection""],
""topic_label"": ""Thermal Management and Cooling""
},
{
""topic_words"": [""modeling"", ""simulation"", ""numerical"", ""prediction"", ""fluid""],
""topic_label"": ""Computational Fluid Dynamics Modeling""
},
{
""topic_words"": [""plasma"", ""ion"", ""electric"", ""thruster"", ""space""],
""topic_label"": ""Electric Space Propulsion""
}
]"
Structures and Materials,"[
{
""topic_words"": [""composite"", ""fiber"", ""matrix"", ""strength"", ""laminate""],
""topic_label"": ""Composite Materials and Laminates""
},
{
""topic_words"": [""mechanical"", ""stress"", ""strain"", ""fatigue"", ""fracture""],
""topic_label"": ""Mechanical Properties and Failure""
},
{
""topic_words"": [""nanomaterial"", ""graphene"", ""nanotube"", ""synthesis"", ""quantum""],
""topic_label"": ""Nanomaterials and Synthesis""
},
{
""topic_words"": [""seismic"", ""earthquake"", ""damping"", ""vibration"", ""resilient""],
""topic_label"": ""Seismic Structure Resilience""
},
{
""topic_words"": [""concrete"", ""self-healing"", ""cement"", ""corrosion"", ""durability""],
""topic_label"": ""Advanced Concrete Durability""
},
{
""topic_words"": [""finite"", ""modeling"", ""simulation"", ""computational"", ""elements""],
""topic_label"": ""Computational Materials Modeling""
},
{
""topic_words"": [""crystal"", ""microstructure"", ""grain"", ""lattice"", ""metallurgy""],
""topic_label"": ""Crystallography and Microstructure""
}
]"
Systems Engineering and Multidisciplinary Design Optimization,"[
{
""topic_words"": [""optimization"", ""multidisciplinary"", ""design"", ""decomposition"", ""problem""],
""topic_label"": ""MDO Problem Formulation""
},
{
""topic_words"": [""systems"", ""architecture"", ""modeling"", ""language"", ""mbse""],
""topic_label"": ""Model-Based Systems Engineering""
},
{
""topic_words"": [""gradient"", ""algorithms"", ""solution"", ""methods"", ""mathematical""],
""topic_label"": ""Optimization Solution Methods""
},
{
""topic_words"": [""analysis"", ""sensitivity"", ""variables"", ""constraints"", ""trade-off""],
""topic_label"": ""Design Sensitivity Analysis""
},
{
""topic_words"": [""surrogate"", ""approximation"", ""response"", ""surface"", ""modeling""],
""topic_label"": ""Surrogate Modeling Techniques""
},
{
""topic_words"": [""lifecycle"", ""processes"", ""management"", ""configuration"", ""integrative""],
""topic_label"": ""Systems Engineering Lifecycle""
},
{
""topic_words"": [""aeroelasticity"", ""structures"", ""coupling"", ""disciplines"", ""complex""],
""topic_label"": ""Complex Interdisciplinary Coupling""
}
]"
Other Aerospace Engineering,"[
{
""topic_words"": [""additive"", ""manufacturing"", ""printing"", ""materials"", ""composites""],
""topic_label"": ""Aerospace Additive Manufacturing""
},
{
""topic_words"": [""uav"", ""drone"", ""autonomous"", ""navigation"", ""algorithms""],
""topic_label"": ""Unmanned Autonomous Systems""
},
{
""topic_words"": [""spacecraft"", ""debris"", ""remediation"", ""tracking"", ""mitigation""],
""topic_label"": ""Space Debris Management""
},
{
""topic_words"": [""hypersonic"", ""propulsion"", ""scramjet"", ""flight"", ""combustion""],
""topic_label"": ""Hypersonic Flight Technology""
},
{
""topic_words"": [""structural"", ""health"", ""monitoring"", ""sensors"", ""nondestructive""],
""topic_label"": ""Structural Health Monitoring""
},
{
""topic_words"": [""computational"", ""fluid"", ""dynamics"", ""aerodynamics"", ""simulation""],
""topic_label"": ""Computational Fluid Dynamics""
},
{
""topic_words"": [""electric"", ""aircraft"", ""hybrid"", ""power"", ""batteries""],
""topic_label"": ""Electric and Hybrid Aviation""
}
]"
Military Vehicles,"[
{
""topic_words"": [""armored"", ""personnel"", ""carrier"", ""infantry"", ""transport""],
""topic_label"": ""Armored Personnel Carriers""
},
{
""topic_words"": [""tank"", ""main"", ""combat"", ""protection"", ""firepower""],
""topic_label"": ""Main Battle Tank Technology""
},
{
""topic_words"": [""autonomous"", ""unmanned"", ""robotics"", ""ground"", ""control""],
""topic_label"": ""Autonomous Ground Vehicles""
},
{
""topic_words"": [""mobility"", ""off-road"", ""terrain"", ""suspension"", ""power""],
""topic_label"": ""Vehicle Mobility and Power""
},
{
""topic_words"": [""mine"", ""blast"", ""ied"", ""protection"", ""mrap""],
""topic_label"": ""Vehicle Survivability and Protection""
},
{
""topic_words"": [""logistics"", ""supply"", ""truck"", ""transportation"", ""fleet""],
""topic_label"": ""Military Logistics and Transport""
},
{
""topic_words"": [""sensor"", ""architecture"", ""cyber"", ""electronics"", ""integration""],
""topic_label"": ""Vehicle Electronics and Cyber""
}
]"
Aviation and Space Education,"[
{
""topic_words"": [""aerodynamics"", ""aircraft"", ""systems"", ""flight"", ""principles""],
""topic_label"": ""Aviation Fundamentals""
},
{
""topic_words"": [""crew"", ""human"", ""factors"", ""decision-making"", ""safety""],
""topic_label"": ""Human Factors and Safety""
},
{
""topic_words"": [""faa"", ""regulations"", ""airspace"", ""control"", ""navigation""],
""topic_label"": ""Air Traffic Regulations""
},
{
""topic_words"": [""rocket"", ""orbital"", ""dynamics"", ""spacecraft"", ""engineering""],
""topic_label"": ""Spaceflight and Orbital Mechanics""
},
{
""topic_words"": [""meteorology"", ""weather"", ""forecasting"", ""reporting"", ""conditions""],
""topic_label"": ""Aviation Weather Theory""
},
{
""topic_words"": [""maintenance"", ""engines"", ""troubleshooting"", ""avionics"", ""inspection""],
""topic_label"": ""Aircraft Maintenance Management""
},
{
""topic_words"": [""pilot"", ""training"", ""simulator"", ""curriculum"", ""assessment""],
""topic_label"": ""Flight Training Pedagogy""
}
]"
Aviation Safety and Security,"[
{
""topic_words"": [""human"", ""factors"", ""performance"", ""fatigue"", ""error""],
""topic_label"": ""Aviation Human Factors and Performance""
},
{
""topic_words"": [""risk"", ""management"", ""safety"", ""analysis"", ""mitigation""],
""topic_label"": ""Safety Risk Management""
},
{
""topic_words"": [""incident"", ""accident"", ""investigation"", ""causal"", ""reporting""],
""topic_label"": ""Accident and Incident Investigation""
},
{
""topic_words"": [""security"", ""threat"", ""screening"", ""cargo"", ""checkpoint""],
""topic_label"": ""Airport and Cargo Security""
},
{
""topic_words"": [""terrain"", ""cfits"", ""avoidance"", ""warning"", ""navigation""],
""topic_label"": ""Controlled Flight Into Terrain (CFIT)""
},
{
""topic_words"": [""uas"", ""drone"", ""airspace"", ""integration"", ""regulation""],
""topic_label"": ""Unmanned Aircraft System (UAS) Safety""
},
{
""topic_words"": [""sms"", ""culture"", ""auditing"", ""compliance"", ""standard""],
""topic_label"": ""Safety Management Systems (SMS)""
}
]"
Management and Operations,"[
{
""topic_words"": [""supply"", ""chain"", ""logistics"", ""procurement"", ""inventory""],
""topic_label"": ""Supply Chain Management""
},
{
""topic_words"": [""quality"", ""lean"", ""six"", ""sigma"", ""improvement""],
""topic_label"": ""Quality and Process Improvement""
},
{
""topic_words"": [""project"", ""scheduling"", ""risk"", ""scope"", ""agile""],
""topic_label"": ""Project Management Methods""
},
{
""topic_words"": [""resource"", ""allocation"", ""capacity"", ""planning"", ""optimization""],
""topic_label"": ""Resource and Capacity Planning""
},
{
""topic_words"": [""decision"", ""making"", ""analytics"", ""modeling"", ""simulation""],
""topic_label"": ""Decision Making and Modeling""
},
{
""topic_words"": [""workflow"", ""automation"", ""process"", ""design"", ""reengineering""],
""topic_label"": ""Business Process Design""
},
{
""topic_words"": [""performance"", ""metrics"", ""kpi"", ""measurement"", ""evaluation""],
""topic_label"": ""Performance Metrics and Evaluation""
}
]"
Bioelectrical and Neuroengineering,"[
{
""topic_words"": [""bci"", ""eeg"", ""ephys"", ""interface"", ""control""],
""topic_label"": ""Brain-Computer Interface Systems""
},
{
""topic_words"": [""stimulation"", ""deep"", ""tms"", ""tacs"", ""modulation""],
""topic_label"": ""Neuromodulation and Brain Stimulation""
},
{
""topic_words"": [""electrode"", ""implant"", ""microelectrode"", ""array"", ""sensing""],
""topic_label"": ""Neural Electrode Technology""
},
{
""topic_words"": [""prothesis"", ""limb"", ""robotic"", ""myoelectric"", ""rehabilitation""],
""topic_label"": ""Neuroprosthetics and Rehabilitation""
},
{
""topic_words"": [""action"", ""potential"", ""membrane"", ""ion"", ""channel""],
""topic_label"": ""Cellular Neurophysiology""
},
{
""topic_words"": [""circuit"", ""network"", ""computational"", ""modeling"", ""simulation""],
""topic_label"": ""Computational Neural Circuits""
},
{
""topic_words"": [""imaging"", ""mri"", ""fmri"", ""pet"", ""tomography""],
""topic_label"": ""Neuroimaging Techniques""
}
]"
Bioimaging and Biomedical Optics,"[
{
""topic_words"": [""fluorescence"", ""microscopy"", ""live-cell"", ""super-resolution"", ""imaging""],
""topic_label"": ""Fluorescence Microscopy Techniques""
},
{
""topic_words"": [""optical"", ""coherence"", ""tomography"", ""tissue"", ""depth""],
""topic_label"": ""Optical Coherence Tomography (OCT)""
},
{
""topic_words"": [""photoacoustic"", ""imaging"", ""ultrasound"", ""light"", ""absorption""],
""topic_label"": ""Photoacoustic Imaging Methods""
},
{
""topic_words"": [""fret"", ""biosensors"", ""molecular"", ""interactions"", ""quantification""],
""topic_label"": ""Molecular Biosensing and FRET""
},
{
""topic_words"": [""spectroscopy"", ""raman"", ""infrared"", ""chemical"", ""analysis""],
""topic_label"": ""Biomedical Spectroscopy Analysis""
},
{
""topic_words"": [""endoscopy"", ""miniature"", ""probes"", ""clinical"", ""diagnosis""],
""topic_label"": ""Clinical Endoscopy and Probes""
},
{
""topic_words"": [""image"", ""processing"", ""segmentation"", ""denoising"", ""quantification""],
""topic_label"": ""Image Processing and Analysis""
}
]"
Biological Engineering,"[
{
""topic_words"": [""scaffold"", ""cells"", ""bioreactor"", ""regenerative"", ""organ""],
""topic_label"": ""Tissue Engineering and Regeneration""
},
{
""topic_words"": [""prosthetics"", ""devices"", ""implants"", ""biocompatibility"", ""materials""],
""topic_label"": ""Biomedical Devices and Implants""
},
{
""topic_words"": [""force"", ""motion"", ""fluid"", ""mechanical"", ""analysis""],
""topic_label"": ""Biomechanical System Analysis""
},
{
""topic_words"": [""genetic"", ""circuit"", ""pathway"", ""design"", ""reprogramming""],
""topic_label"": ""Synthetic Biology Design""
},
{
""topic_words"": [""sensing"", ""detection"", ""analyte"", ""response"", ""bioinstrumentation""],
""topic_label"": ""Biosensors and Bioinstrumentation""
},
{
""topic_words"": [""polymer"", ""hydrogel"", ""ceramic"", ""composite"", ""surface""],
""topic_label"": ""Biomaterials Development""
},
{
""topic_words"": [""fermentation"", ""scaleup"", ""bioprocess"", ""production"", ""yield""],
""topic_label"": ""Bioprocessing and Biomanufacturing""
}
]"
Biomedical Devices and Instrumentation,"[
{
""topic_words"": [""biosensors"", ""detection"", ""monitoring"", ""assay"", ""point-of-care""],
""topic_label"": ""Biosensors and Point-of-Care""
},
{
""topic_words"": [""implants"", ""biomaterials"", ""compatibility"", ""prosthetics"", ""artificial""],
""topic_label"": ""Medical Implants and Biomaterials""
},
{
""topic_words"": [""imaging"", ""mri"", ""ultrasound"", ""ct"", ""diagnostic""],
""topic_label"": ""Biomedical Imaging Technology""
},
{
""topic_words"": [""microfluidics"", ""lab-on-a-chip"", ""miniaturization"", ""sample"", ""analysis""],
""topic_label"": ""Microfluidic Diagnostics""
},
{
""topic_words"": [""wearable"", ""health"", ""remote"", ""telemedicine"", ""data""],
""topic_label"": ""Wearable Health Monitoring""
},
{
""topic_words"": [""surgical"", ""robotics"", ""automation"", ""minimally"", ""invasive""],
""topic_label"": ""Surgical Robotics and Automation""
},
{
""topic_words"": [""stimulation"", ""neuroprosthetics"", ""interface"", ""electrical"", ""rehabilitation""],
""topic_label"": ""Neuroprosthetics and Stimulation""
}
]"
"Molecular, Cellular, and Tissue Engineering","[
{
""topic_words"": [""scaffold"", ""biomaterial"", ""porosity"", ""degradation"", ""hydrogel""],
""topic_label"": ""Biomaterial Scaffold Design""
},
{
""topic_words"": [""stem"", ""differentiation"", ""pluripotent"", ""niche"", ""regeneration""],
""topic_label"": ""Stem Cell Differentiation & Regeneration""
},
{
""topic_words"": [""mechanotransduction"", ""forces"", ""extracellular"", ""matrix"", ""microenvironment""],
""topic_label"": ""Cellular Mechanotransduction & ECM""
},
{
""topic_words"": [""organ"", ""on-a-chip"", ""microfluidics"", ""disease"", ""modeling""],
""topic_label"": ""Organ-on-a-Chip Modeling""
},
{
""topic_words"": [""vascularization"", ""angiogenesis"", ""blood"", ""vessels"", ""perfusion""],
""topic_label"": ""Tissue Vascularization""
},
{
""topic_words"": [""molecular"", ""signaling"", ""pathway"", ""receptor"", ""ligand""],
""topic_label"": ""Molecular Signaling Pathways""
},
{
""topic_words"": [""bioreactor"", ""culture"", ""optimization"", ""scale-up"", ""proliferation""],
""topic_label"": ""Bioreactor Culture Optimization""
}
]"
Systems and Integrative Engineering,"[
{
""topic_words"": [""modeling"", ""simulation"", ""analysis"", ""optimization"", ""process""],
""topic_label"": ""System Modeling and Optimization""
},
{
""topic_words"": [""architecture"", ""design"", ""requirements"", ""integration"", ""verification""],
""topic_label"": ""System Design and Integration""
},
{
""topic_words"": [""lifecycle"", ""management"", ""risk"", ""project"", ""complexity""],
""topic_label"": ""Systems Lifecycle Management""
},
{
""topic_words"": [""interoperability"", ""heterogeneous"", ""framework"", ""interface"", ""platform""],
""topic_label"": ""Interdisciplinary System Integration""
},
{
""topic_words"": [""human-factors"", ""cognitive"", ""ergonomics"", ""interaction"", ""usability""],
""topic_label"": ""Human-Systems Integration""
},
{
""topic_words"": [""control"", ""feedback"", ""dynamics"", ""stability"", ""automation""],
""topic_label"": ""System Control and Dynamics""
},
{
""topic_words"": [""data"", ""information"", ""databases"", ""decision"", ""architecture""],
""topic_label"": ""Information System Architectures""
}
]"
Biochemical and Biomolecular Engineering,"[
{
""topic_words"": [""bioreactor"", ""design"", ""scale-up"", ""optimization"", ""fermentation""],
""topic_label"": ""Bioreactor Design and Scale-Up""
},
{
""topic_words"": [""metabolic"", ""pathway"", ""engineering"", ""flux"", ""modeling""],
""topic_label"": ""Metabolic Pathway Engineering""
},
{
""topic_words"": [""protein"", ""purification"", ""chromatography"", ""separation"", ""downstream""],
""topic_label"": ""Protein Purification and Separation""
},
{
""topic_words"": [""biosensors"", ""detection"", ""analyte"", ""response"", ""monitoring""],
""topic_label"": ""Biosensor Development and Monitoring""
},
{
""topic_words"": [""drug"", ""delivery"", ""nanoparticles"", ""targeting"", ""controlled""],
""topic_label"": ""Targeted Drug Delivery Systems""
},
{
""topic_words"": [""enzyme"", ""kinetics"", ""immobilization"", ""catalysis"", ""activity""],
""topic_label"": ""Enzyme Kinetics and Catalysis""
},
{
""topic_words"": [""tissue"", ""scaffold"", ""regenerative"", ""biomaterials"", ""culture""],
""topic_label"": ""Regenerative Tissue Engineering""
}
]"
Catalysis and Reaction Engineering,"[
{
""topic_words"": [""heterogeneous"", ""kinetics"", ""surface"", ""adsorption"", ""mechanism""],
""topic_label"": ""Heterogeneous Catalysis Kinetics""
},
{
""topic_words"": [""reactor"", ""design"", ""modeling"", ""simulation"", ""scale-up""],
""topic_label"": ""Chemical Reactor Design & Modeling""
},
{
""topic_words"": [""homogeneous"", ""organometallic"", ""ligand"", ""synthesis"", ""transition""],
""topic_label"": ""Homogeneous Organometallic Catalysis""
},
{
""topic_words"": [""zeolite"", ""pore"", ""microporous"", ""framework"", ""acidic""],
""topic_label"": ""Zeolite Catalysis and Materials""
},
{
""topic_words"": [""photocatalysis"", ""light"", ""semiconductor"", ""oxidation"", ""reduction""],
""topic_label"": ""Photocatalytic Reaction Engineering""
},
{
""topic_words"": [""biocatalysis"", ""enzyme"", ""fermentation"", ""bioreactor"", ""activity""],
""topic_label"": ""Biocatalysis and Bioreactors""
},
{
""topic_words"": [""fluidization"", ""multiphase"", ""mixing"", ""transport"", ""mass""],
""topic_label"": ""Multiphase Reactor Systems""
}
]"
Membrane Science,"[
{
""topic_words"": [""reverse"", ""osmosis"", ""desalination"", ""pressure"", ""water""],
""topic_label"": ""Reverse Osmosis Desalination""
},
{
""topic_words"": [""ultrafiltration"", ""pore"", ""size"", ""sieving"", ""separation""],
""    topic_label"": ""Ultrafiltration and Separation""
},
{
""topic_words"": [""fouling"", ""cleaning"", ""surface"", ""hydrophilicity"", ""mitigation""],
""topic_label"": ""Membrane Fouling Mitigation""
},
{
""topic_words"": [""polymer"", ""material"", ""composite"", ""nanofiber"", ""fabrication""],
""topic_label"": ""Polymer Membrane Materials""
},
{
""topic_words"": [""gas"", ""separation"", ""permeability"", ""selectivity"", ""transport""],
""topic_label"": ""Gas Separation Membranes""
},
{
""topic_words"": [""electrodialysis"", ""ion"", ""exchange"", ""current"", ""potential""],
""topic_label"": ""Ion Exchange and Electrodialysis""
},
{
""topic_words"": [""forward"", ""osmosis"", ""draw"", ""solute"", ""flux""],
""topic_label"": ""Forward Osmosis Processes""
}
]"
Petroleum Engineering,"[
{
""topic_words"": [""reservoir"", ""simulation"", ""pressure"", ""permeability"", ""fluid""],
""topic_label"": ""Reservoir Simulation Modeling""
},
{
""topic_words"": [""drilling"", ""wellbore"", ""mud"", ""operations"", ""geology""],
""topic_label"": ""Drilling Engineering Operations""
},
{
""topic_words"": [""production"", ""completion"", ""flow"", ""optimization"", ""artificial""],
""topic_label"": ""Oil Production Optimization""
},
{
""topic_words"": [""enhanced"", ""recovery"", ""co2"", ""thermal"", ""chemical""],
""topic_label"": ""Enhanced Oil Recovery (EOR)""
},
{
""topic_words"": [""petroleum"", ""rock"", ""porosity"", ""saturation"", ""hydrocarbon""],
""topic_label"": ""Petrophysics and Rock Properties""
},
{
""topic_words"": [""fracturing"", ""shale"", ""unconventional"", ""hydraulic"", ""stimulation""],
""topic_label"": ""Hydraulic Fracturing Technology""
},
{
""topic_words"": [""gas"", ""liquefied"", ""natural"", ""lng"", ""lpg""],
""topic_label"": ""Natural Gas Processing""
}
]"
Polymer Science,"[
{
""topic_words"": [""monomer"", ""initiation"", ""propagation"", ""termination"", ""kinetics""],
""topic_label"": ""Polymer Reaction Kinetics""
},
{
""topic_words"": [""crystallinity"", ""glass"", ""transition"", ""melting"", ""amorphous""],
""topic_label"": ""Polymer Thermal Transitions""
},
{
""topic_words"": [""strength"", ""modulus"", ""viscoelasticity"", ""deformation"", ""rheology""],
""topic_label"": ""Polymer Mechanical Properties""
},
{
""topic_words"": [""biodegradable"", ""compostable"", ""biobased"", ""recyclable"", ""sustainability""],
""topic_label"": ""Sustainable Polymer Materials""
},
{
""topic_words"": [""filler"", ""matrix"", ""nanocomposite"", ""reinforcement"", ""interface""],
""topic_label"": ""Polymer Composites & Nanocomposites""
},
{
""topic_words"": [""chain"", ""molecular"", ""weight"", ""distribution"", ""spectroscopy""],
""topic_label"": ""Polymer Characterization""
},
{
""topic_words"": [""plastics"", ""elastomers"", ""fibers"", ""adhesives"", ""coatings""],
""topic_label"": ""Polymer Materials Applications""
}
]"
Thermodynamics,"[
{
""topic_words"": [""entropy"", ""disorder"", ""spontaneous"", ""irreversible"", ""change""],
""topic_label"": ""Second Law and Entropy""
},
{
""topic_words"": [""enthalpy"", ""internal"", ""energy"", ""heat"", ""work""],
""topic_label"": ""First Law Applications""
},
{
""topic_words"": [""temperature"", ""heat"", ""transfer"", ""equilibrium"", ""zero""],
""topic_label"": ""Thermal Equilibrium & Heat""
},
{
""topic_words"": [""gibbs"", ""helmholtz"", ""potential"", ""reaction"", ""free""],
""topic_label"": ""Thermodynamic Potentials""
},
{
""topic_words"": [""system"", ""boundary"", ""surroundings"", ""closed"", ""open""],
""topic_label"": ""Thermodynamic System Analysis""
},
{
""topic_words"": [""engine"", ""cycle"", ""efficiency"", ""carnot"", ""refrigerator""],
""topic_label"": ""Thermodynamic Cycles & Engines""
},
{
""topic_words"": [""statistical"", ""microstate"", ""ensemble"", ""partition"", ""mechanics""],
""topic_label"": ""Statistical Thermodynamics""
}
]"
Transport Phenomena,"[
{
""topic_words"": [""navier"", ""stokes"", ""fluid"", ""momentum"", ""viscosity""],
""topic_label"": ""Fluid Momentum Transfer""
},
{
""topic_words"": [""fick's"", ""diffusion"", ""mass"", ""concentration"", ""molecular""],
""topic_label"": ""Mass Diffusion & Fick's Law""
},
{
""topic_words"": [""fourier's"", ""conduction"", ""heat"", ""thermal"", ""energy""],
""topic_label"": ""Heat Conduction & Energy""
},
{
""topic_words"": [""convection"", ""boundary"", ""layer"", ""transfer"", ""flow""],
""topic_label"": ""Convective Transport Phenomena""
},
{
""topic_words"": [""reynolds"", ""prandtl"", ""schmidt"", ""dimensionless"", ""numbers""],
""topic_label"": ""Dimensionless Transport Numbers""
},
{
""topic_words"": [""analogy"", ""heat"", ""mass"", ""momentum"", ""comparison""],
""topic_label"": ""Heat-Mass-Momentum Analogy""
},
{
""topic_words"": [""interfacial"", ""surfaces"", ""phase"", ""transfer"", ""kinetics""],
""topic_label"": ""Interfacial Transport Kinetics""
}
]"
Other Chemical Engineering,"[
{
""topic_words"": [""mass"", ""energy"", ""balance"", ""unit"", ""operations""],
""topic_label"": ""Fundamental Chemical Processes""
},
{
""topic_words"": [""kinetics"", ""reactor"", ""reaction"", ""catalysis"", ""design""],
""topic_label"": ""Chemical Reaction Engineering""
},
{
""topic_words"": [""distillation"", ""absorption"", ""extraction"", ""separation"", ""membranes""],
""topic_label"": ""Mass Transfer Operations""
},
{
""topic_words"": [""heat"", ""transfer"", ""exchanger"", ""convection"", ""conduction""],
""topic_label"": ""Heat Transfer Principles""
},
{
""topic_words"": [""fluid"", ""dynamics"", ""flow"", ""viscosity"", ""pumps""],
""topic_label"": ""Fluid Mechanics and Flow""
},
{
""topic_words"": [""process"", ""control"", ""monitoring"", ""optimization"", ""automation""],
""topic_label"": ""Chemical Process Control""
},
{
""topic_words"": [""thermodynamic"", ""equilibrium"", ""pressure"", ""enthalpy"", ""entropy""],
""topic_label"": ""Applied Chemical Thermodynamics""
}
]"
Civil Engineering,"[
{
""topic_words"": [""seismic"", ""earthquake"", ""structure"", ""design"", ""vulnerability""],
""topic_label"": ""Earthquake Resistant Design""
},
{
""topic_words"": [""pavement"", ""asphalt"", ""concrete"", ""rehabilitation"", ""traffic""],
""topic_label"": ""Transportation Pavement Engineering""
},
{
""topic_words"": [""water"", ""treatment"", ""wastewater"", ""quality"", ""purification""],
""topic_label"": ""Water and Wastewater Treatment""
},
{
""topic_words"": [""soil"", ""mechanics"", ""foundation"", ""stability"", ""geotechnical""],
""topic_label"": ""Geotechnical Soil Mechanics""
},
{
""topic_words"": [""bridge"", ""loads"", ""fatigue"", ""monitoring"", ""inspection""],
""topic_label"": ""Bridge Structure Analysis""
},
{
""topic_words"": [""hydrology"", ""flood"", ""drainage"", ""runoff"", ""modeling""],
""topic_label"": ""Hydrologic Flood Modeling""
},
{
""topic_words"": [""bim"", ""construction"", ""management"", ""scheduling"", ""cost""],
""topic_label"": ""BIM Construction Management""
}
]"
Environmental Engineering,"[
{
""topic_words"": [""water"", ""wastewater"", ""treatment"", ""sewage"", ""disposal""],
""topic_label"": ""Water and Wastewater Treatment""
},
{
""topic_words"": [""air"", ""pollution"", ""control"", ""emissions"", ""management""],
""topic_label"": ""Air Pollution Control""
},
{
""topic_words"": [""solid"", ""waste"", ""management"", ""landfill"", ""recycling""],
""topic_label"": ""Solid Waste Management""
},
{
""topic_words"": [""remediation"", ""site"", ""hazardous"", ""contaminants"", ""cleanup""],
""topic_label"": ""Hazardous Waste Site Remediation""
},
{
""topic_words"": [""impact"", ""assessment"", ""mitigation"", ""ecological"", ""risk""],
""topic_label"": ""Environmental Impact Assessment""
},
{
""topic_words"": [""hydrology"", ""groundwater"", ""aquifer"", ""flow"", ""modeling""],
""topic_label"": ""Groundwater Hydrology and Modeling""
},
{
""topic_words"": [""chemistry"", ""chemical"", ""reactions"", ""pollutant"", ""inorganic""],
""topic_label"": ""Environmental Chemistry Processes""
}
]"
